,cusip no,issuer name,price,shares,currency,market valuation,price USD
0,C00948 10 6,AGRIFORCE GROWING SYSTEMS LT COM,59.19,10194,EUR,603382.86,65.09
1,C96657 11 6,VISION MARINE TECHNOLOGIES I COM,17.35,2797,EUR,48527.950000000004,19.08
2,G0464B 10 7,ARGO GROUP INTL HLDGS LTD COM,283.28,9247,EUR,2619490.1599999997,311.53
3,G0585R 10 6,ASSURED GUARANTY LTD COM,42.87,14994,EUR,642792.7799999999,47.15
4,G0750C 10 8,AXALTA COATING SYS LTD COM,276.75,14732,USD,4077081.0,276.75
5,G1110E 10 7,BIOHAVEN LTD COM,121.91,6844,EUR,834352.0399999999,134.07
6,G16962 10 5,BUNGE LIMITED COM,168.89,2432,USD,410740.48,168.89
7,G2007L 10 5,CAZOO GROUP LTD COM,238.27,9888,USD,2356013.7600000002,238.27
8,G21082 10 5,CHINA YUCHAI INTL LTD COM,140.48,13106,EUR,1841130.88,154.49
9,G2519Y 10 8,CREDICORP LTD COM,181.01,2993,EUR,541762.9299999999,199.06
10,G3104J 10 0,EPICQUEST EDUCATN GRP INTL L COM,111.52,13158,EUR,1467380.16,122.64
11,G31249 10 8,ESTABLISHMENT LABS HLDGS INC COM,290.83,505,EUR,146869.15,319.83
12,G31642 10 4,CLPS INCORPORATION COM,249.83,6461,USD,1614151.6300000001,249.83
13,G3198U 10 2,ESSENT GROUP LTD COM,10.29,7873,EUR,81013.17,11.32
14,G3223R 10 8,EVEREST RE GROUP LTD COM,32.82,13953,EUR,457937.46,36.09
15,G4086B 10 7,GREENCITY ACQUISITION CORP COM,264.33,6442,EUR,1702813.8599999999,290.69
16,G4388N 10 6,HELEN OF TROY LTD COM,220.24,5459,EUR,1202290.1600000001,242.2
17,G5005R 10 7,JAMES RIV GROUP LTD COM,101.13,11082,USD,1120722.66,101.13
18,G54085 10 8,LEAD EDGE GROWTH OPRTUNTS COM,176.07,13854,USD,2439273.78,176.07
19,G5851A 10 9,,306.86,7687,EUR,2358832.8200000003,337.46
20,G59665 10 2,MEIRAGTX HLDGS PLC COM,195.4,13736,USD,2684014.4,195.4
21,G6180C 10 5,MINGZHU LOGISTICS COM,27.98,4872,USD,136318.56,27.98
22,G637AM 10 2,MYOVANT COM,330.13,1729,USD,570794.77,330.13
23,G65773 10 6,NORDIC AMERICAN TANKERS LIMI COM,11.86,4348,EUR,51567.28,13.04
24,G6759A 10 0,NOVA COM,130.41,3149,EUR,410661.08999999997,143.42
25,G7185A 12 8,PORTAGE BIOTECH INC COM,29.29,14392,EUR,421541.68,32.21
26,G7307E 10 7,QILIAN INTL HLDG GROUP LTD COM,249.26,12577,USD,3134943.02,249.26
27,G7997W 10 2,SEADRILL 2021 LTD COM,112.56,11859,EUR,1334849.04,123.79
28,G8192H 10 6,SIRIUSPOINT LTD COM,38.11,2303,USD,87767.33,38.11
29,G87110 10 5,TECHNIPFMC COM,325.79,10971,EUR,3574242.0900000003,358.28
30,G9440D 10 3,VITRU LTD COM,191.12,7736,USD,1478504.32,191.12
31,G9618E 10 7,WHITE MTNS INS GROUP LTD COM,186.05,10379,USD,1931012.9500000002,186.05
32,H1467J 10 4,CHUBB LIMITED COM,30.38,12649,USD,384276.62,30.38
33,H5861P 10 3,OBSEVA SA COM,211.64,4758,EUR,1006983.1199999999,232.75
34,L00849 10 6,ADECOAGRO COM,210.91,3392,EUR,715406.72,231.94
35,L1995B 10 7,CORPORACION AMER ARPTS S COM,158.84,14466,USD,2297779.44,158.84
36,L44385 10 9,GLOBANT S A COM,268.46,4840,USD,1299346.4,268.46
37,L67359 10 6,NEXA RES S A COM,250.39,5809,EUR,1454515.51,275.36
38,L72967 10 9,ORION ENGINEERED CARBONS S A COM,154.0,1244,EUR,191576.0,169.36
39,M4130Y 10 6,ENLIVEX THERAPEUTICS LTD COM,304.38,4720,USD,1436673.6,304.38
40,M46528 10 1,FRONTLINE PLC COM,151.16,14165,EUR,2141181.4,166.24
41,M96088 10 5,UROGEN PHARMA LTD COM,138.04,14317,EUR,1976318.68,151.81
42,M96883 10 9,VASCULAR BIOGENICS LTD COM,301.81,2796,USD,843860.76,301.81
43,N01045 10 8,AFFIMED N V COM,84.39,180,USD,15190.2,84.39
44,P73398 10 2,NYMOX PHARMACEUTICAL CORP COM,65.56,11680,USD,765740.8,65.56
45,P73684 11 3,ONESPAWORLD HOLDINGS LIMITED COM,101.56,13821,USD,1403660.76,101.56
46,V7780T 10 3,ROYAL CARIBBEAN GROUP COM,104.81,13419,USD,1406445.3900000001,104.81
47,Y0207T 10 0,ARDMORE SHIPPING COM,322.06,10928,EUR,3519471.68,354.18
48,Y41053 10 2,INTERNATIONAL SEAWAYS INC COM,40.24,11152,EUR,448756.48000000004,44.25
49,Y48125 10 1,KNOT OFFSHORE PARTNERS LP COM,334.39,2335,USD,780800.65,334.39
50,Y62197 11 9,NAVIOS COM,74.24,715,USD,53081.6,74.24
51,Y7388L 10 3,SAFE BULKERS INC COM,169.96,6811,USD,1157597.56,169.96
52,Y8564W 10 3,TEEKAY CORPORATION COM,95.38,2159,EUR,205925.41999999998,104.89
53,Y8900D 10 8,TORO CORP COM,168.04,11044,USD,1855833.76,168.04
54,Y92335 10 1,UNITED MARITIME CORPORATION COM,92.6,3570,USD,330582.0,92.6
55,00246W 10 3,AXT INC COM,232.49,14024,EUR,3260439.7600000002,255.68
56,2474 10 4,AZZ INC COM,32.19,9298,EUR,299302.62,35.4
57,00249W 10 0,A2Z SMART TECHNOLOGIES CORP COM,337.25,561,EUR,189197.25,370.88
58,00258W 10 8,THE AARONS COMPANY INC COM,237.68,11384,EUR,2705749.12,261.38
59,2824 10 0,ABBOTT LABS COM,284.74,7952,EUR,2264252.48,313.14
60,00287Y 10 9,ABBVIE INC COM,50.75,6089,USD,309016.75,50.75
61,00288U 10 6,ABCELLERA BIOLOGICS INC COM,142.52,12363,USD,1761974.7600000002,142.52
62,3009 10 7,ABRDN ASIA PACIFIC INCOME FU COM,71.08,9945,USD,706890.6,71.08
63,00301W 10 5,ABRDN EMRG MKTS EQTY INCM FD COM,24.79,5563,USD,137906.77,24.79
64,3011 10 3,ABRDN AUSTRALIA EQUITY FD IN COM,37.57,4324,USD,162452.68,37.57
65,3013 10 9,ABRDN GLOBAL INCOME FUND INC COM,239.9,14184,EUR,3402741.6,263.82
66,00302M 10 6,ABRDN GLOBAL DYNAMIC DIVIDEN COM,209.48,2288,EUR,479290.24,230.37
67,3057 10 6,ABRDN INCOME CREDIT STRATEGI COM,267.17,7520,EUR,2009118.4000000001,293.81
68,00306J 10 9,ABRDN JAPAN EQUITY FUND INC COM,258.12,9942,EUR,2566229.04,283.86
69,00386B 10 9,ABSOLUTE SOFTWARE CORP COM,12.87,14219,EUR,182998.53,14.15
70,00402L 10 7,ACADEMY SPORTS & OUTDOORS IN COM,171.02,5460,USD,933769.2000000001,171.02
71,00404A 10 9,ACADIA HEALTHCARE COMPANY IN COM,269.07,2908,USD,782455.5599999999,269.07
72,4225 10 8,ACADIA PHARMACEUTICALS INC COM,286.05,9014,USD,2578454.7,286.05
73,00430H 10 2,ACCELERATE COM,112.87,11904,USD,1343604.48,112.87
74,00437E 10 2,ACCOLADE INC COM,171.84,9576,EUR,1645539.84,188.98
75,00438Y 10 7,ACCRETION ACQUISITION CORP COM,224.65,7782,USD,1748226.3,224.65
76,4397 10 5,ACCURAY INC COM,169.74,14197,USD,2409798.7800000003,169.74
77,00444P 10 8,ACER THERAPEUTICS INC COM,190.34,2387,USD,454341.58,190.34
78,00444X 10 1,ACHARI VENTURES HLDGS CORP COM,277.67,6681,USD,1855113.27,277.67
79,00445F 10 9,ACERAGEN COM,104.36,10597,USD,1105902.92,104.36
80,4468 50 0,ACHIEVE COM,189.73,10145,EUR,1924810.8499999999,208.65
81,4498 10 1,ACI WORLDWIDE INC COM,252.61,7909,EUR,1997892.4900000002,277.8
82,00461U 10 5,ACLARIS THERAPEUTICS I COM,181.35,9240,EUR,1675674.0,199.44
83,00486H 10 5,ADTRAN COM,194.53,4138,EUR,804965.14,213.93
84,00503R 10 2,ACTELIS NETWORKS INC COM,186.1,3864,EUR,719090.4,204.66
85,00507V 10 9,ACTIVISION BLIZZARD INC COM,0.34,3801,EUR,1292.3400000000001,0.37
86,00507W 20 6,ACTINIUM PHARMACEUTICALS INC COM,43.39,4286,USD,185969.54,43.39
87,00508Y 10 2,ACUITY BRANDS INC COM,255.56,14645,EUR,3742676.2,281.05
88,00509G 20 9,ACUMEN PHARMACEUTICALS INC COM,313.24,4726,EUR,1480372.24,344.48
89,5098 10 8,ACUSHNET HLDGS CORP COM,6.85,4580,USD,31373.0,6.85
90,00510L 10 6,ACUITYADS HLDGS INC COM,98.55,8257,EUR,813727.35,108.38
91,00510M 10 4,ACURX PHARMACEUTICALS INC COM,195.8,3798,EUR,743648.4,215.33
92,5111 10 9,ACUTUS MED INC COM,268.42,530,EUR,142262.6,295.19
93,00534A 10 2,INVIVYD INC COM,328.97,13656,USD,4492414.32,328.97
94,00548F 10 5,ADAM NAT RES FD INC COM,126.72,8924,USD,1130849.28,126.72
95,6212 10 4,ADAMS DIVERSIFIED EQUITY COM,69.95,3540,EUR,247623.0,76.93
96,00650F 10 9,ADAPTIVE BIOTECHNOLOGIES COM,62.01,2151,EUR,133383.51,68.19
97,6739 10 6,ADDUS HOMECARE CORP COM,273.49,10225,USD,2796435.25,273.49
98,00676P 10 7,ADEIA INC COM,260.11,10979,USD,2855747.69,260.11
99,00688A 10 6,ADIAL PHARMACEUTICALS INC COM,304.18,516,EUR,156956.88,334.52
100,7002 10 8,ADICET BIO INC COM,254.61,11546,EUR,2939727.06,280.0
101,00770C 10 1,ADVANCED EMISSIONS SOLUTIONS COM,124.6,13142,EUR,1637493.2,137.03
102,00773J 10 3,AEGLEA BIOTHERAPEUTICS INC COM,85.29,1847,USD,157530.63,85.29
103,00773T 10 1,ADVANSIX INC COM,277.27,5985,EUR,1659460.95,304.92
104,00773U 10 8,ADVERUM BIOTECHNOLOGIES INC COM,125.12,12622,EUR,1579264.6400000001,137.6
105,7744 10 5,MOLEKULE GROUP INC COM,46.45,2629,EUR,122117.05,51.08
106,7800 10 5,AEROJET ROCKETDYNE HLDGS INC COM,57.33,8416,USD,482489.27999999997,57.33
107,00790R 10 4,ADVANCED DRAIN SYS INC DEL COM,84.13,4843,EUR,407441.58999999997,92.52
108,7903 10 7,ADVANCED MICRO DEVICES INC COM,235.34,13619,EUR,3205095.46,258.81
109,7973 10 0,ADVANCED ENERGY INDS COM,65.99,5654,USD,373107.45999999996,65.99
110,8064 10 7,AEROVATE THERAPEUTICS INC COM,52.19,9837,USD,513393.02999999997,52.19
111,8073 10 8,AEROVIRONMENT INC COM,24.82,12027,USD,298510.14,24.82
112,00808Y 30 7,AETHLON MED INC COM,264.89,3465,USD,917843.85,264.89
113,00810F 10 6,AERSALE CORPORATION COM,93.05,11267,USD,1048394.35,93.05
114,00810J 10 8,AERWINS TECHNOLOGIES INC COM,153.59,7683,USD,1180031.97,153.59
115,8252 10 8,AFFILIATED MANAGERS GROUP IN COM,198.04,9842,EUR,1949109.68,217.79
116,00832E 10 3,AFFINITY BANCSHARES INC COM,97.05,4201,EUR,407707.05,106.73
117,9158 10 6,AIR COM,160.29,8230,USD,1319186.7,160.29
118,9207 10 1,AIR COM,140.12,14357,USD,2011702.84,140.12
119,00922R 10 5,AIR TRANSPORT SERVICES GRP COM,282.98,9353,EUR,2646711.94,311.2
120,00938A 10 4,AIRGAIN INC COM,109.92,13476,EUR,1481281.92,120.88
121,9496 10 0,AIRSCULPT TECHNOLOGIES INC COM,261.96,14767,EUR,3868363.32,288.08
122,00951K 10 4,AIRSPAN NETWORKS HOLDINGS COM,144.75,1660,EUR,240285.0,159.19
123,00971T 10 1,AKAMAI TECHNOLOGIES INC COM,294.67,4358,EUR,1284171.86,324.06
124,00972D 10 5,AKEBIA THERAPEUTICS INC COM,13.44,7094,USD,95343.36,13.44
125,12653 10 1,ALBEMARLE CORP COM,112.73,5588,USD,629935.24,112.73
126,01345P 10 6,ALBIREO PHARMA INC COM,212.32,5499,USD,1167547.68,212.32
127,13872 10 6,ALCOA CORP COM,329.41,8701,EUR,2866196.41,362.26
128,01438T 10 6,ALDEYRA THERAPEUTICS INC COM,286.33,13789,USD,3948204.3699999996,286.33
129,14442 10 7,ALECTOR INC COM,94.71,3865,EUR,366054.14999999997,104.16
130,01446U 10 3,ALERUS FINL CORP COM,100.88,13609,USD,1372875.92,100.88
131,14491 10 4,ALEXANDER & BALDWIN INC NEW COM,192.08,13138,USD,2523547.04,192.08
132,14752 10 9,ALEXANDERS INC COM,316.97,6302,EUR,1997544.9400000002,348.58
133,15271 10 9,ALEXANDRIA REAL ESTATE EQ IN COM,270.9,1356,USD,367340.39999999997,270.9
134,15658 10 7,ALGOMA COM,137.92,2407,EUR,331973.43999999994,151.67
135,01741R 10 2,ATI COM,280.67,13405,USD,3762381.35,280.67
136,01748X 10 2,ALLEGIANT TRAVEL CO COM,12.64,13432,EUR,169780.48,13.9
137,01749D 10 5,ALLEGRO MICROSYSTEMS INC COM,144.27,5920,USD,854078.4,144.27
138,18581 10 8,BREAD FINANCIAL HOLDINGS INC COM,122.97,8429,EUR,1036514.13,135.23
